Quantity,Part Number,Manufacturer Part Number,,,
1,Z3116-ND,G5LE-1A4 DC5,,,
1,MMBT2222A-FDICT-ND,MMBT2222A-7-F,,,
1,RMCF1206JT10K0CT-ND,RMCF1206JT10K0,,,
2,RNCP0805FTD1K00CT-ND,RNCP0805FTD1K00,,,
2,1N4148W-FDICT-ND,1N4148W-7-F,,,
1,RMCF1206JT100KCT-ND,RMCF1206JT100K,,,
1,497-1591-1-ND,LM358DT,,,
1,RMCF1206JT2M20CT-ND,RMCF1206JT2M20,,,
2,732-8413-1-ND,8.6508E+11,,,
2,CP-3523SJCT-ND,SJ-3523-SMT-TR,,,
1,Q227-ND,738W-X2/03,,,
1,1866-2998-ND,IRM-01-5,,,
1,311-1111-1-ND,CC0805JRNPO9BN101,,,
1,ED2581-ND,OSTTA034163,,,
,,,,,
